SiteCode,Year,SpeciesCode,ReportItem,ReportItemName,Annual
BG1,2018,NO2,7,Mean: (AQS Objective < 40ug/m3),24
BG1,2018,NO2,7,Annual data capture rate (%):,41
BG1,2018,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG1,2018,SO2,0,Sulphur Dioxide,-999
BG1,2018,SO2,1,Data capture rate (%):,78
BG1,2018,SO2,2,15min max (ug/m3):,13.5
BG1,2018,SO2,3,Low days:,281
BG1,2018,SO2,4,Moderate days:,0
BG1,2018,SO2,5,High days:,0
BG1,2018,SO2,6,Very High days:,0
BG1,2018,SO2,7,Occurences of 15min mean >267ug/m3: (AQS Objective <= 35),0
BG1,2018,SO2,7,Occurences of hourly mean >350ug/m3: (AQS Objective <= 24),0
BG1,2018,SO2,7,Annual data capture rate (%):,78
BG1,2018,SO2,7,Days where daily mean >125ug/m3: (AQS Objective <= 3),0
BG1,2019,NO2,0,Nitrogen Dioxide,-999
BG1,2019,NO2,1,Data capture rate (%):,40
BG1,2019,NO2,2,Hourly max (ug/m3):,68.6
BG1,2019,NO2,3,Low days:,147
BG1,2019,NO2,4,Moderate days:,0
BG1,2019,NO2,5,High days:,0
BG1,2019,NO2,6,Very High days:,0
BG1,2019,NO2,7,Mean: (AQS Objective < 40ug/m3),16
BG1,2019,NO2,7,Annual data capture rate (%):,40
BG1,2019,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG1,2019,SO2,0,Sulphur Dioxide,-999
BG1,2019,SO2,1,Data capture rate (%):,97
BG1,2019,SO2,2,15min max (ug/m3):,11.7
BG1,2019,SO2,3,Low days:,356
BG1,2019,SO2,4,Moderate days:,0
BG1,2019,SO2,5,High days:,0
BG1,2019,SO2,6,Very High days:,0
BG1,2019,SO2,7,Occurences of 15min mean >267ug/m3: (AQS Objective <= 35),0
BG1,2019,SO2,7,Occurences of hourly mean >350ug/m3: (AQS Objective <= 24),0
BG1,2019,SO2,7,Annual data capture rate (%):,97
BG1,2019,SO2,7,Days where daily mean >125ug/m3: (AQS Objective <= 3),0
BG1,2020,NO2,0,Nitrogen Dioxide,-999
BG1,2020,NO2,1,Data capture rate (%):,99
BG1,2020,NO2,2,Hourly max (ug/m3):,108.5
BG1,2020,NO2,3,Low days:,362
BG1,2020,NO2,4,Moderate days:,0
BG1,2020,NO2,5,High days:,0
BG1,2020,NO2,6,Very High days:,0
BG1,2020,NO2,7,Mean: (AQS Objective < 40ug/m3),17
BG1,2020,NO2,7,Annual data capture rate (%):,99
BG1,2020,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG1,2020,SO2,0,Sulphur Dioxide,-999
BG1,2020,SO2,1,Data capture rate (%):,92
BG1,2020,SO2,2,15min max (ug/m3):,14.3
BG1,2020,SO2,3,Low days:,338
BG1,2020,SO2,4,Moderate days:,0
BG1,2020,SO2,5,High days:,0
BG1,2020,SO2,6,Very High days:,0
BG1,2020,SO2,7,Occurences of 15min mean >267ug/m3: (AQS Objective <= 35),0
BG1,2020,SO2,7,Occurences of hourly mean >350ug/m3: (AQS Objective <= 24),0
BG1,2020,SO2,7,Annual data capture rate (%):,92
BG1,2020,SO2,7,Days where daily mean >125ug/m3: (AQS Objective <= 3),0
BG1,2021,NO2,0,Nitrogen Dioxide,-999
BG1,2021,NO2,1,Data capture rate (%):,90
BG1,2021,NO2,2,Hourly max (ug/m3):,90.1
BG1,2021,NO2,3,Low days:,328
BG1,2021,NO2,4,Moderate days:,0
BG1,2021,NO2,5,High days:,0
BG1,2021,NO2,6,Very High days:,0
BG1,2021,NO2,7,Mean: (AQS Objective < 40ug/m3),17
BG1,2021,NO2,7,Annual data capture rate (%):,90
BG1,2021,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG1,2021,SO2,0,Sulphur Dioxide,-999
BG1,2021,SO2,1,Data capture rate (%):,94
BG1,2021,SO2,2,15min max (ug/m3):,19.8
BG1,2021,SO2,3,Low days:,347
BG1,2021,SO2,4,Moderate days:,0
BG1,2021,SO2,5,High days:,0
BG1,2021,SO2,6,Very High days:,0
BG1,2021,SO2,7,Occurences of 15min mean >267ug/m3: (AQS Objective <= 35),0
BG1,2021,SO2,7,Occurences of hourly mean >350ug/m3: (AQS Objective <= 24),0
BG1,2021,SO2,7,Annual data capture rate (%):,94
BG1,2021,SO2,7,Days where daily mean >125ug/m3: (AQS Objective <= 3),0
BG1,2022,NO2,0,Nitrogen Dioxide,-999
BG1,2022,NO2,1,Data capture rate (%):,92
BG1,2022,NO2,2,Hourly max (ug/m3):,152
BG1,2022,NO2,3,Low days:,337
BG1,2022,NO2,4,Moderate days:,0
BG1,2022,NO2,5,High days:,0
BG1,2022,NO2,6,Very High days:,0
BG1,2022,NO2,7,Mean: (AQS Objective < 40ug/m3),17
BG1,2022,NO2,7,Annual data capture rate (%):,92
BG1,2022,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG1,2022,SO2,0,Sulphur Dioxide,-999
BG1,2022,SO2,1,Data capture rate (%):,88
BG1,2022,SO2,2,15min max (ug/m3):,13
BG1,2022,SO2,3,Low days:,347
BG1,2022,SO2,4,Moderate days:,0
BG1,2022,SO2,5,High days:,0
BG1,2022,SO2,6,Very High days:,0
BG1,2022,SO2,7,Occurences of 15min mean >267ug/m3: (AQS Objective <= 35),0
BG1,2022,SO2,7,Occurences of hourly mean >350ug/m3: (AQS Objective <= 24),0
BG1,2022,SO2,7,Annual data capture rate (%):,88
BG1,2022,SO2,7,Days where daily mean >125ug/m3: (AQS Objective <= 3),0
BG1,2023,NO2,0,Nitrogen Dioxide,-999
BG1,2023,NO2,1,Data capture rate (%):,87
BG1,2023,NO2,2,Hourly max (ug/m3):,105.1
BG1,2023,NO2,3,Low days:,318
BG1,2023,NO2,4,Moderate days:,0
BG1,2023,NO2,5,High days:,0
BG1,2023,NO2,6,Very High days:,0
BG1,2023,NO2,7,Mean: (AQS Objective < 40ug/m3),16
BG1,2023,NO2,7,Annual data capture rate (%):,87
BG1,2023,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG1,2023,SO2,0,Sulphur Dioxide,-999
BG1,2023,SO2,1,Data capture rate (%):,84
BG1,2023,SO2,2,15min max (ug/m3):,17.5
BG1,2023,SO2,3,Low days:,322
BG1,2023,SO2,4,Moderate days:,0
BG1,2023,SO2,5,High days:,0
BG1,2023,SO2,6,Very High days:,0
BG1,2023,SO2,7,Occurences of 15min mean >267ug/m3: (AQS Objective <= 35),0
BG1,2023,SO2,7,Occurences of hourly mean >350ug/m3: (AQS Objective <= 24),0
BG1,2023,SO2,7,Annual data capture rate (%):,84
BG1,2023,SO2,7,Days where daily mean >125ug/m3: (AQS Objective <= 3),0
BG1,2024,NO2,0,Nitrogen Dioxide,-999
BG1,2024,NO2,1,Data capture rate (%):,44
BG1,2024,NO2,2,Hourly max (ug/m3):,79.7
BG1,2024,NO2,3,Low days:,161
BG1,2024,NO2,4,Moderate days:,0
BG1,2024,NO2,5,High days:,0
BG1,2024,NO2,6,Very High days:,0
BG1,2024,NO2,7,Mean: (AQS Objective < 40ug/m3),13
BG1,2024,NO2,7,Annual data capture rate (%):,45
BG1,2024,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG1,2024,SO2,0,Sulphur Dioxide,-999
BG1,2024,SO2,1,Data capture rate (%):,53
BG1,2024,SO2,2,15min max (ug/m3):,6.3
BG1,2024,SO2,3,Low days:,203
BG1,2024,SO2,4,Moderate days:,0
BG1,2024,SO2,5,High days:,0
BG1,2024,SO2,6,Very High days:,0
BG1,2024,SO2,7,Occurences of 15min mean >267ug/m3: (AQS Objective <= 35),0
BG1,2024,SO2,7,Occurences of hourly mean >350ug/m3: (AQS Objective <= 24),0
BG1,2024,SO2,7,Annual data capture rate (%):,53
BG1,2024,SO2,7,Days where daily mean >125ug/m3: (AQS Objective <= 3),0
BG2,2014,NO2,0,Nitrogen Dioxide,-999
BG2,2014,NO2,1,Data capture rate (%):,94
BG2,2014,NO2,2,Hourly max (ug/m3):,149.7
BG2,2014,NO2,3,Low days:,341
BG2,2014,NO2,4,Moderate days:,0
BG2,2014,NO2,5,High days:,0
BG2,2014,NO2,6,Very High days:,0
BG2,2014,NO2,7,Mean: (AQS Objective < 40ug/m3),30
BG2,2014,NO2,7,Annual data capture rate (%):,94
BG2,2014,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG2,2014,PM10,0,PM10 Particulates,-999
BG2,2014,PM10,1,Data capture rate (%):,95
BG2,2014,PM10,2,Hourly mean (ug/m3):,37.1
BG2,2014,PM10,3,Low days:,332
BG2,2014,PM10,4,Moderate days:,6
BG2,2014,PM10,5,High days:,2
BG2,2014,PM10,6,Very High days:,0
BG2,2014,PM10,7,Mean: (AQS Objective < 40ug/m3),21
BG2,2014,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),10
BG2,2014,PM10,7,Annual data capture rate (%):,95
BG2,2015,NO2,0,Nitrogen Dioxide,-999
BG2,2015,NO2,1,Data capture rate (%):,96
BG2,2015,NO2,2,Hourly max (ug/m3):,130
BG2,2015,NO2,3,Low days:,351
BG2,2015,NO2,4,Moderate days:,0
BG2,2015,NO2,5,High days:,0
BG2,2015,NO2,6,Very High days:,0
BG2,2015,NO2,7,Mean: (AQS Objective < 40ug/m3),29
BG2,2015,NO2,7,Annual data capture rate (%):,96
BG2,2015,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG2,2015,PM10,0,PM10 Particulates,-999
BG2,2015,PM10,1,Data capture rate (%):,94
BG2,2015,PM10,2,Hourly mean (ug/m3):,36.6
BG2,2015,PM10,3,Low days:,338
BG2,2015,PM10,4,Moderate days:,2
BG2,2015,PM10,5,High days:,0
BG2,2015,PM10,6,Very High days:,0
BG2,2015,PM10,7,Mean: (AQS Objective < 40ug/m3),21
BG2,2015,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),3
BG2,2015,PM10,7,Annual data capture rate (%):,94
BG2,2016,NO2,0,Nitrogen Dioxide,-999
BG2,2016,NO2,1,Data capture rate (%):,95
BG2,2016,NO2,2,Hourly max (ug/m3):,171.3
BG2,2016,NO2,3,Low days:,347
BG2,2016,NO2,4,Moderate days:,0
BG2,2016,NO2,5,High days:,0
BG2,2016,NO2,6,Very High days:,0
BG2,2016,NO2,7,Mean: (AQS Objective < 40ug/m3),32
BG2,2016,NO2,7,Annual data capture rate (%):,95
BG2,2016,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG2,2016,PM10,0,PM10 Particulates,-999
BG2,2016,PM10,1,Data capture rate (%):,97
BG2,2016,PM10,2,Hourly mean (ug/m3):,34.9
BG2,2016,PM10,3,Low days:,349
BG2,2016,PM10,4,Moderate days:,4
BG2,2016,PM10,5,High days:,0
BG2,2016,PM10,6,Very High days:,0
BG2,2016,PM10,7,Mean: (AQS Objective < 40ug/m3),20
BG2,2016,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),4
BG2,2016,PM10,7,Annual data capture rate (%):,97
BG2,2017,NO2,0,Nitrogen Dioxide,-999
BG2,2017,NO2,1,Data capture rate (%):,93
BG2,2017,NO2,2,Hourly max (ug/m3):,121.6
BG2,2017,NO2,3,Low days:,341
BG2,2017,NO2,4,Moderate days:,0
BG2,2017,NO2,5,High days:,0
BG2,2017,NO2,6,Very High days:,0
BG2,2017,NO2,7,Mean: (AQS Objective < 40ug/m3),29
BG2,2017,NO2,7,Annual data capture rate (%):,93
BG2,2017,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG2,2017,PM10,0,PM10 Particulates,-999
BG2,2017,PM10,1,Data capture rate (%):,98
BG2,2017,PM10,2,Hourly mean (ug/m3):,33.8
BG2,2017,PM10,3,Low days:,357
BG2,2017,PM10,4,Moderate days:,3
BG2,2017,PM10,5,High days:,0
BG2,2017,PM10,6,Very High days:,0
BG2,2017,PM10,7,Mean: (AQS Objective < 40ug/m3),19
BG2,2017,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),4
BG2,2017,PM10,7,Annual data capture rate (%):,98
BG2,2018,NO2,0,Nitrogen Dioxide,-999
BG2,2018,NO2,1,Data capture rate (%):,93
BG2,2018,NO2,2,Hourly max (ug/m3):,120.4
BG2,2018,NO2,3,Low days:,332
BG2,2018,NO2,4,Moderate days:,0
BG2,2018,NO2,5,High days:,0
BG2,2018,NO2,6,Very High days:,0
BG2,2018,NO2,7,Mean: (AQS Objective < 40ug/m3),26
BG2,2018,NO2,7,Annual data capture rate (%):,93
BG2,2018,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG2,2018,PM10,0,PM10 Particulates,-999
BG2,2018,PM10,1,Data capture rate (%):,57
BG2,2018,PM10,2,Hourly mean (ug/m3):,33.2
BG2,2018,PM10,3,Low days:,207
BG2,2018,PM10,4,Moderate days:,0
BG2,2018,PM10,5,High days:,0
BG2,2018,PM10,6,Very High days:,0
BG2,2018,PM10,7,Mean: (AQS Objective < 40ug/m3),19
BG2,2018,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),0
BG2,2018,PM10,7,Annual data capture rate (%):,57
BG2,2019,NO2,0,Nitrogen Dioxide,-999
BG2,2019,NO2,1,Data capture rate (%):,89
BG2,2019,NO2,2,Hourly max (ug/m3):,95.7
BG2,2019,NO2,3,Low days:,314
BG2,2019,NO2,4,Moderate days:,0
BG2,2019,NO2,5,High days:,0
BG2,2019,NO2,6,Very High days:,0
BG2,2019,NO2,7,Mean: (AQS Objective < 40ug/m3),24
BG2,2019,NO2,7,Annual data capture rate (%):,89
BG2,2019,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG2,2019,PM10,0,PM10 Particulates,-999
BG2,2019,PM10,1,Data capture rate (%):,89
BG2,2019,PM10,2,Hourly mean (ug/m3):,31.9
BG2,2019,PM10,3,Low days:,320
BG2,2019,PM10,4,Moderate days:,5
BG2,2019,PM10,5,High days:,0
BG2,2019,PM10,6,Very High days:,0
BG2,2019,PM10,7,Mean: (AQS Objective < 40ug/m3),18
BG2,2019,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),6
BG2,2019,PM10,7,Annual data capture rate (%):,89
BG2,2020,NO2,0,Nitrogen Dioxide,-999
BG2,2020,NO2,1,Data capture rate (%):,99
BG2,2020,NO2,2,Hourly max (ug/m3):,101.5
BG2,2020,NO2,3,Low days:,362
BG2,2020,NO2,4,Moderate days:,0
BG2,2020,NO2,5,High days:,0
BG2,2020,NO2,6,Very High days:,0
BG2,2020,NO2,7,Mean: (AQS Objective < 40ug/m3),20
BG2,2020,NO2,7,Annual data capture rate (%):,99
BG2,2020,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG2,2020,PM10,0,PM10 Particulates,-999
BG2,2020,PM10,1,Data capture rate (%):,99
BG2,2020,PM10,2,Hourly mean (ug/m3):,32.7
BG2,2020,PM10,3,Low days:,360
BG2,2020,PM10,4,Moderate days:,2
BG2,2020,PM10,5,High days:,1
BG2,2020,PM10,6,Very High days:,0
BG2,2020,PM10,7,Mean: (AQS Objective < 40ug/m3),18
BG2,2020,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),3
BG2,2020,PM10,7,Annual data capture rate (%):,99
BG2,2021,NO2,0,Nitrogen Dioxide,-999
BG2,2021,NO2,1,Data capture rate (%):,94
BG2,2021,NO2,2,Hourly max (ug/m3):,85.1
BG2,2021,NO2,3,Low days:,342
BG2,2021,NO2,4,Moderate days:,0
BG2,2021,NO2,5,High days:,0
BG2,2021,NO2,6,Very High days:,0
BG2,2021,NO2,7,Mean: (AQS Objective < 40ug/m3),20
BG2,2021,NO2,7,Annual data capture rate (%):,94
BG2,2021,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG2,2021,PM10,0,PM10 Particulates,-999
BG2,2021,PM10,1,Data capture rate (%):,99
BG2,2021,PM10,2,Hourly mean (ug/m3):,35.1
BG2,2021,PM10,3,Low days:,361
BG2,2021,PM10,4,Moderate days:,2
BG2,2021,PM10,5,High days:,0
BG2,2021,PM10,6,Very High days:,0
BG2,2021,PM10,7,Mean: (AQS Objective < 40ug/m3),18
BG2,2021,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),2
BG2,2021,PM10,7,Annual data capture rate (%):,99
BG2,2022,NO2,0,Nitrogen Dioxide,-999
BG2,2022,NO2,1,Data capture rate (%):,100
BG2,2022,NO2,2,Hourly max (ug/m3):,102.9
BG2,2022,NO2,3,Low days:,365
BG2,2022,NO2,4,Moderate days:,0
BG2,2022,NO2,5,High days:,0
BG2,2022,NO2,6,Very High days:,0
BG2,2022,NO2,7,Mean: (AQS Objective < 40ug/m3),21
BG2,2022,NO2,7,Annual data capture rate (%):,100
BG2,2022,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG2,2022,PM10,0,PM10 Particulates,-999
BG2,2022,PM10,1,Data capture rate (%):,98
BG2,2022,PM10,2,Hourly mean (ug/m3):,38
BG2,2022,PM10,3,Low days:,358
BG2,2022,PM10,4,Moderate days:,2
BG2,2022,PM10,5,High days:,0
BG2,2022,PM10,6,Very High days:,0
BG2,2022,PM10,7,Mean: (AQS Objective < 40ug/m3),18
BG2,2022,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),2
BG2,2022,PM10,7,Annual data capture rate (%):,98
BG2,2023,NO2,0,Nitrogen Dioxide,-999
BG2,2023,NO2,1,Data capture rate (%):,97
BG2,2023,NO2,2,Hourly max (ug/m3):,91.4
BG2,2023,NO2,3,Low days:,353
BG2,2023,NO2,4,Moderate days:,0
BG2,2023,NO2,5,High days:,0
BG2,2023,NO2,6,Very High days:,0
BG2,2023,NO2,7,Mean: (AQS Objective < 40ug/m3),18
BG2,2023,NO2,7,Annual data capture rate (%):,97
BG2,2023,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG2,2023,PM10,0,PM10 Particulates,-999
BG2,2023,PM10,1,Data capture rate (%):,96
BG2,2023,PM10,2,Hourly mean (ug/m3):,37
BG2,2023,PM10,3,Low days:,345
BG2,2023,PM10,4,Moderate days:,3
BG2,2023,PM10,5,High days:,0
BG2,2023,PM10,6,Very High days:,0
BG2,2023,PM10,7,Mean: (AQS Objective < 40ug/m3),17
BG2,2023,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),3
BG2,2023,PM10,7,Annual data capture rate (%):,96
BG2,2024,NO2,0,Nitrogen Dioxide,-999
BG2,2024,NO2,1,Data capture rate (%):,56
BG2,2024,NO2,2,Hourly max (ug/m3):,67.1
BG2,2024,NO2,3,Low days:,204
BG2,2024,NO2,4,Moderate days:,0
BG2,2024,NO2,5,High days:,0
BG2,2024,NO2,6,Very High days:,0
BG2,2024,NO2,7,Mean: (AQS Objective < 40ug/m3),15
BG2,2024,NO2,7,Annual data capture rate (%):,57
BG2,2024,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG2,2024,PM10,0,PM10 Particulates,-999
BG2,2024,PM10,1,Data capture rate (%):,50
BG2,2024,PM10,2,Hourly mean (ug/m3):,39.8
BG2,2024,PM10,3,Low days:,177
BG2,2024,PM10,4,Moderate days:,0
BG2,2024,PM10,5,High days:,2
BG2,2024,PM10,6,Very High days:,0
BG2,2024,PM10,7,Mean: (AQS Objective < 40ug/m3),16
BG2,2024,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),2
BG2,2024,PM10,7,Annual data capture rate (%):,51
BL0,2014,NO2,0,Nitrogen Dioxide,-999
BL0,2014,NO2,1,Data capture rate (%):,74
BL0,2014,NO2,2,Hourly max (ug/m3):,192.4
BL0,2014,NO2,3,Low days:,269
BL0,2014,NO2,4,Moderate days:,0
BL0,2014,NO2,5,High days:,0
BL0,2014,NO2,6,Very High days:,0
BL0,2014,NO2,7,Mean: (AQS Objective < 40ug/m3),50
BL0,2014,NO2,7,Annual data capture rate (%):,74
BL0,2014,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BL0,2014,O3,0,Ozone,-999
BL0,2014,O3,1,Data capture rate (%):,98
BL0,2014,O3,2,Rolling 8hr max (ug/m3):,108
BL0,2014,O3,3,Low days:,355
BL0,2014,O3,4,Moderate days:,1
BL0,2014,O3,5,High days:,0
BL0,2014,O3,6,Very High days:,0
BL0,2014,O3,7,Days where maximum rolling 8hr mean >100ug/m3: (AQS Objective <= 10),1
BL0,2014,O3,7,Annual data capture rate (%):,98
BL0,2014,PM10,0,PM10 Particulates,-999
BL0,2014,PM10,1,Data capture rate (%):,96
BL0,2014,PM10,2,Hourly mean (ug/m3):,31.8
BL0,2014,PM10,3,Low days:,340
BL0,2014,PM10,4,Moderate days:,6
BL0,2014,PM10,5,High days:,0
BL0,2014,PM10,6,Very High days:,0
BL0,2014,PM10,7,Mean: (AQS Objective < 40ug/m3),20
BL0,2014,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),10
BL0,2014,PM10,7,Annual data capture rate (%):,96
BL0,2014,PM25,0,PM2.5 Particulates,-999
BL0,2014,PM25,1,Data capture rate (%):,94
BL0,2014,PM25,2,Hourly mean (ug/m3):,24.2
BL0,2014,PM25,3,Low days:,321
BL0,2014,PM25,4,Moderate days:,17
BL0,2014,PM25,5,High days:,3
BL0,2014,PM25,6,Very High days:,0
BL0,2014,PM25,7,Mean: (AQS Objective < 25ug/m3),-999
BL0,2014,SO2,0,Sulphur Dioxide,-999
BL0,2014,SO2,1,Data capture rate (%):,94
BL0,2014,SO2,2,15min max (ug/m3):,638.3
BL0,2014,SO2,3,Low days:,333
BL0,2014,SO2,4,Moderate days:,1
BL0,2014,SO2,5,High days:,1
BL0,2014,SO2,6,Very High days:,0
BL0,2014,SO2,7,Days where daily mean >125ug/m3: (AQS Objective <= 3),0
BL0,2014,SO2,7,Occurences of 15min mean >267ug/m3: (AQS Objective <= 35),3
BL0,2014,SO2,7,Occurences of hourly mean >350ug/m3: (AQS Objective <= 24),0
BL0,2014,SO2,7,Annual data capture rate (%):,94
BL0,2015,NO2,0,Nitrogen Dioxide,-999
BL0,2015,NO2,1,Data capture rate (%):,99
BL0,2015,NO2,2,Hourly max (ug/m3):,142.2
BL0,2015,NO2,3,Low days:,359
BL0,2015,NO2,4,Moderate days:,0
BL0,2015,NO2,5,High days:,0
BL0,2015,NO2,6,Very High days:,0
BL0,2015,NO2,7,Mean: (AQS Objective < 40ug/m3),48
